Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
FRR,-0.301582,0.00245913
IET,0.134977,0.865023
DET,6.21709e-06,0.735454
FAR,3.3495,6.21709e-06
FRR,-0.300336,0.00249341
IET,0.135602,0.864398
DET,6.39162e-06,0.734101
FAR,3.34461,6.39162e-06
FRR,-0.29907,0.00252817
IET,0.136229,0.863771
DET,6.57105e-06,0.732709
FAR,3.33959,6.57105e-06
FRR,-0.297789,0.00256341
IET,0.136859,0.863141
DET,6.75553e-06,0.731278
FAR,3.33442,6.75553e-06
FRR,-0.29649,0.00259914
IET,0.137492,0.862508
DET,6.94518e-06,0.729808
FAR,3.32911,6.94518e-06
FRR,-0.295172,0.00263537
IET,0.138128,0.861872
DET,7.14015e-06,0.728296
FAR,3.32365,7.14015e-06
FRR,-0.293837,0.00267211
IET,0.138766,0.861234
DET,7.34059e-06,0.726741
FAR,3.31804,7.34059e-06
FRR,-0.292482,0.00270935
IET,0.139408,0.860592
DET,7.54668e-06,0.725143
FAR,3.31227,7.54668e-06
FRR,-0.291108,0.00274712
IET,0.140053,0.859947
DET,7.75853e-06,0.7235
FAR,3.30634,7.75853e-06
FRR,-0.289716,0.00278541
IET,0.140701,0.859299
DET,7.97634e-06,0.721811
FAR,3.30025,7.97634e-06
FRR,-0.288303,0.00282424
IET,0.141352,0.858648
DET,8.20027e-06,0.720075
FAR,3.29398,8.20027e-06
FRR,-0.286872,0.00286361
IET,0.142005,0.857995
DET,8.43047e-06,0.719077
FAR,3.28986,8.43047e-06
FRR,-0.286576,0.00290353
IET,0.142662,0.857338
DET,8.66714e-06,0.718832
FAR,3.28794,8.66714e-06
FRR,-0.286329,0.002944
IET,0.143322,0.856678
DET,8.91045e-06,0.71858
FAR,3.28596,8.91045e-06
FRR,-0.286079,0.00298504
IET,0.143985,0.856015
DET,9.16059e-06,0.718322
FAR,3.28392,9.16059e-06
FRR,-0.285825,0.00302665
IET,0.144651,0.855349
DET,9.41777e-06,0.718056
FAR,3.28183,9.41777e-06
FRR,-0.285568,0.00306884
IET,0.14532,0.85468
DET,9.68215e-06,0.717782
FAR,3.27968,9.68215e-06
FRR,-0.285308,0.00311162
IET,0.145992,0.854008
DET,9.95396e-06,0.717501
FAR,3.27747,9.95396e-06
FRR,-0.285043,0.00315499
IET,0.146667,0.853333
DET,1.02334e-05,0.717212
FAR,3.2752,1.02334e-05
FRR,-0.284775,0.00319897
IET,0.147345,0.852655
DET,1.05207e-05,0.716915
FAR,3.27286,1.05207e-05
FRR,-0.284503,0.00324356
IET,0.148027,0.851973
DET,1.0816e-05,0.71661
FAR,3.27046,1.0816e-05
FRR,-0.284228,0.00328877
IET,0.148712,0.851288
DET,1.11197e-05,0.716223
FAR,3.26768,1.11197e-05
FRR,-0.283948,0.00333462
IET,0.149399,0.850601
DET,1.14318e-05,0.715255
FAR,3.26238,1.14318e-05
FRR,-0.283665,0.0033811
IET,0.15009,0.84991
DET,1.17528e-05,0.714259
FAR,3.25693,1.17528e-05
FRR,-0.283377,0.00342823
IET,0.150785,0.849216
DET,1.20827e-05,0.713236
FAR,3.25132,1.20827e-05
FRR,-0.283086,0.00347602
IET,0.151482,0.848518
DET,1.24219e-05,0.712184
FAR,3.24556,1.24219e-05
FRR,-0.282791,0.00352447
IET,0.152182,0.847818
DET,1.27706e-05,0.711102
FAR,3.23963,1.27706e-05
FRR,-0.282491,0.0035736
IET,0.152886,0.847114
DET,1.31291e-05,0.70999
FAR,3.23354,1.31291e-05
FRR,-0.282188,0.00362342
IET,0.153593,0.846407
DET,1.34977e-05,0.708846
FAR,3.22728,1.34977e-05
FRR,-0.28188,0.00367392
IET,0.154304,0.845696
DET,1.38766e-05,0.707726
FAR,3.22114,1.38766e-05
FRR,-0.281568,0.00372514
IET,0.155018,0.844983
DET,1.42662e-05,0.707524
FAR,3.22007,1.42662e-05
FRR,-0.281251,0.00377706
IET,0.155734,0.844266
DET,1.46667e-05,0.707317
FAR,3.21897,1.46667e-05
FRR,-0.28093,0.00382971
IET,0.156455,0.843545
DET,1.50784e-05,0.707104
FAR,3.21784,1.50784e-05
FRR,-0.280605,0.0038831
IET,0.157178,0.842822
DET,1.55017e-05,0.706885
FAR,3.21668,1.55017e-05
