Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
FRR,-9.66455,0.000325856
IET,0.00242532,0.999214
DET,6.04732e-06,0.998983
FAR,-7.96169,6.04732e-06
FRR,-9.66455,0.000331927
IET,0.00245913,0.999203
DET,6.21709e-06,0.99898
FAR,-7.96212,6.21709e-06
FRR,-9.66455,0.00033811
IET,0.00249341,0.999192
DET,6.39162e-06,0.998977
FAR,-7.96257,6.39162e-06
FRR,-9.66455,0.000344409
IET,0.00252817,0.99918
DET,6.57105e-06,0.998974
FAR,-7.96303,6.57105e-06
FRR,-9.66455,0.000350825
IET,0.00256341,0.999169
DET,6.75553e-06,0.998971
FAR,-7.9635,6.75553e-06
FRR,-9.66455,0.00035736
IET,0.00259914,0.999157
DET,6.94518e-06,0.998968
FAR,-7.96398,6.94518e-06
FRR,-9.66455,0.000364017
IET,0.00263537,0.999146
DET,7.14015e-06,0.998964
FAR,-7.96448,7.14015e-06
FRR,-9.66455,0.000370799
IET,0.00267211,0.999134
DET,7.34059e-06,0.998961
FAR,-7.965,7.34059e-06
FRR,-9.66455,0.000377706
IET,0.00270935,0.999122
DET,7.54668e-06,0.998957
FAR,-7.96552,7.54668e-06
FRR,-9.66455,0.000384743
IET,0.00274712,0.999109
DET,7.75853e-06,0.998954
FAR,-7.96607,7.75853e-06
FRR,-9.66455,0.00039191
IET,0.00278541,0.999097
DET,7.97634e-06,0.99895
FAR,-7.96662,7.97634e-06
FRR,-9.66455,0.000399211
IET,0.00282424,0.999084
DET,8.20027e-06,0.998946
FAR,-7.9672,8.20027e-06
FRR,-9.66455,0.000406648
IET,0.00286361,0.999072
DET,8.43047e-06,0.998942
FAR,-7.96779,8.43047e-06
FRR,-9.66455,0.000414223
IET,0.00290353,0.999059
DET,8.66714e-06,0.998938
FAR,-7.96839,8.66714e-06
FRR,-9.66455,0.00042194
IET,0.002944,0.999046
