Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
FRR,-9.65668,0.00157905
IET,0.116448,0.883552
DET,2.56341e-06,0.997349
FAR,-6.91389,2.56341e-06
FRR,-9.65653,0.00160106
IET,0.116987,0.883013
DET,2.63537e-06,0.997275
FAR,-6.91389,2.63537e-06
FRR,-9.65636,0.00162338
IET,0.117528,0.882472
DET,2.70935e-06,0.997199
FAR,-6.91389,2.70935e-06
FRR,-9.6562,0.00164601
IET,0.118071,0.881929
DET,2.78541e-06,0.997113
FAR,-6.91544,2.78541e-06
FRR,-9.65604,0.00166896
IET,0.118617,0.881383
DET,2.86361e-06,0.996991
FAR,-6.92391,2.86361e-06
FRR,-9.65587,0.00169222
IET,0.119166,0.880834
DET,2.944e-06,0.996867
FAR,-6.93263,2.944e-06
FRR,-9.6557,0.00171581
IET,0.119717,0.880283
DET,3.02665e-06,0.996738
FAR,-6.94159,3.02665e-06
FRR,-9.65552,0.00173973
IET,0.120271,0.879729
DET,3.11161e-06,0.996607
FAR,-6.9508,3.11161e-06
FRR,-9.65535,0.00176398
IET,0.120827,0.879173
DET,3.19897e-06,0.996471
FAR,-6.96027,3.19897e-06
FRR,-9.65517,0.00178857
IET,0.121386,0.878614
DET,3.28877e-06,0.996332
FAR,-6.97,3.28877e-06
FRR,-9.65499,0.0018135
IET,0.121947,0.878053
DET,3.3811e-06,0.996189
FAR,-6.98001,3.3811e-06
FRR,-9.65481,0.00183878
IET,0.122511,0.877489
DET,3.47602e-06,0.996041
FAR,-6.9903,3.47602e-06
FRR,-9.65462,0.00186441
IET,0.123078,0.876922
DET,3.5736e-06,0.99589
FAR,-7.00087,3.5736e-06
FRR,-9.65443,0.0018904
IET,0.123647,0.876353
DET,3.67392e-06,0.995734
FAR,-7.01175,3.67392e-06
FRR,-9.65424,0.00191675
IET,0.124219,0.875781
DET,3.77706e-06,0.995574
FAR,-7.02293,3.77706e-06
FRR,-9.65405,0.00194347
IET,0.124794,0.875206
DET,3.8831e-06,0.99541
FAR,-7.03442,3.8831e-06
FRR,-9.65385,0.00197056
IET,0.125371,0.874629
DET,3.99211e-06,0.995241
FAR,-7.04624,3.99211e-06
FRR,-9.65366,0.00199803
IET,0.125951,0.874049
DET,4.10418e-06,0.995067
FAR,-7.05838,4.10418e-06
FRR,-9.65345,0.00202588
IET,0.126533,0.873467
DET,4.2194e-06,0.994888
FAR,-7.07087,4.2194e-06
FRR,-9.65325,0.00205412
IET,0.127118,0.872882
DET,4.33785e-06,0.994705
FAR,-7.08371,4.33785e-06
FRR,-9.65304,0.00208275
IET,0.127706,0.872294
DET,4.45963e-06,0.994516
FAR,-7.09691,4.45963e-06
FRR,-9.65283,0.00211178
IET,0.128297,0.871703
DET,4.58482e-06,0.994322
FAR,-7.11048,4.58482e-06
FRR,-9.65262,0.00214122
IET,0.12889,0.87111
DET,4.71353e-06,0.994122
FAR,-7.12443,4.71353e-06
FRR,-9.6524,0.00217107
IET,0.129486,0.870513
DET,4.84586e-06,0.993917
FAR,-7.13877,4.84586e-06
FRR,-9.65219,0.00220133
IET,0.130085,0.869915
DET,4.9819e-06,0.993706
FAR,-7.15352,4.9819e-06
FRR,-9.65196,0.00223202
IET,0.130687,0.869313
DET,5.12175e-06,0.993489
FAR,-7.16868,5.12175e-06
FRR,-9.65174,0.00226313
IET,0.131291,0.868709
DET,5.26554e-06,0.993266
FAR,-7.18426,5.26554e-06
FRR,-9.65151,0.00229468
IET,0.131899,0.868101
DET,5.41336e-06,0.993037
FAR,-7.20029,5.41336e-06
FRR,-9.65128,0.00232666
IET,0.132509,0.867491
DET,5.56533e-06,0.992825
FAR,-7.21527,5.56533e-06
FRR,-9.65104,0.0023591
IET,0.133122,0.866878
DET,5.72157e-06,0.992744
FAR,-7.2221,5.72157e-06
FRR,-9.65081,0.00239198
IET,0.133737,0.866263
DET,5.88219e-06,0.992661
FAR,-7.22912,5.88219e-06
FRR,-9.65056,0.00242532
IET,0.134356,0.865644
DET,6.04732e-06,0.992576
FAR,-7.23634,6.04732e-06
FRR,-9.65032,0.00245913
IET,0.134977,0.865023
DET,6.21709e-06,0.992488
FAR,-7.24376,6.21709e-06
FRR,-9.65007,0.00249341
IET,0.135602,0.864398
DET,6.39162e-06,0.992398
FAR,-7.25139,6.39162e-06
FRR,-9.64982,0.00252817
IET,0.136229,0.863771
DET,6.57105e-06,0.992305
FAR,-7.25923,6.57105e-06
FRR,-9.64957,0.00256341
IET,0.136859,0.863141
DET,6.75553e-06,0.992209
FAR,-7.2673,6.75553e-06
FRR,-9.64931,0.00259914
IET,0.137492,0.862508
DET,6.94518e-06,0.992111
FAR,-7.27559,6.94518e-06
FRR,-9.64905,0.00263537
IET,0.138128,0.861872
DET,7.14015e-06,0.992011
FAR,-7.28411,7.14015e-06
FRR,-9.64878,0.00267211
IET,0.138766,0.861234
DET,7.34059e-06,0.991907
FAR,-7.29288,7.34059e-06
FRR,-9.64851,0.00270935
IET,0.139408,0.860592
DET,7.54668e-06,0.9918
FAR,-7.30189,7.54668e-06
FRR,-9.64824,0.00274712
IET,0.140053,0.859947
DET,7.75853e-06,0.991691
FAR,-7.31115,7.75853e-06
FRR,-9.64796,0.00278541
IET,0.140701,0.859299
DET,7.97634e-06,0.991578
FAR,-7.32067,7.97634e-06
FRR,-9.64768,0.00282424
IET,0.141352,0.858648
DET,8.20027e-06,0.991462
FAR,-7.33046,8.20027e-06
FRR,-9.6474,0.00286361
IET,0.142005,0.857995
DET,8.43047e-06,0.991343
FAR,-7.3366,8.43047e-06
FRR,-9.64682,0.00290353
IET,0.142662,0.857338
DET,8.66714e-06,0.991221
FAR,-7.33903,8.66714e-06
FRR,-9.64623,0.002944
IET,0.143322,0.856678
DET,8.91045e-06,0.991095
FAR,-7.34152,8.91045e-06
FRR,-9.64563,0.00298504
IET,0.143985,0.856015
DET,9.16059e-06,0.990966
FAR,-7.34408,9.16059e-06
FRR,-9.64503,0.00302665
IET,0.144651,0.855349
DET,9.41777e-06,0.990833
FAR,-7.34672,9.41777e-06
FRR,-9.64441,0.00306884
IET,0.14532,0.85468
DET,9.68215e-06,0.990696
FAR,-7.34942,9.68215e-06
FRR,-9.64379,0.00311162
IET,0.145992,0.854008
DET,9.95396e-06,0.990556
FAR,-7.35221,9.95396e-06
FRR,-9.64315,0.00315499
IET,0.146667,0.853333
DET,1.02334e-05,0.990411
FAR,-7.35507,1.02334e-05
FRR,-9.64251,0.00319897
IET,0.147345,0.852655
DET,1.05207e-05,0.990263
FAR,-7.35801,1.05207e-05
FRR,-9.64186,0.00324356
IET,0.148027,0.851973
DET,1.0816e-05,0.99011
FAR,-7.36104,1.0816e-05
FRR,-9.6412,0.00328877
IET,0.148712,0.851288
DET,1.11197e-05,0.989953
FAR,-7.36485,1.11197e-05
FRR,-9.64053,0.00333462
IET,0.149399,0.850601
DET,1.14318e-05,0.989792
FAR,-7.37429,1.14318e-05
FRR,-9.63985,0.0033811
IET,0.15009,0.84991
DET,1.17528e-05,0.989626
FAR,-7.38399,1.17528e-05
FRR,-9.63916,0.00342823
IET,0.150785,0.849216
DET,1.20827e-05,0.989455
FAR,-7.39396,1.20827e-05
FRR,-9.63846,0.00347602
IET,0.151482,0.848518
DET,1.24219e-05,0.98928
FAR,-7.40421,1.24219e-05
FRR,-9.63775,0.00352447
IET,0.152182,0.847818
DET,1.27706e-05,0.9891
FAR,-7.41476,1.27706e-05
FRR,-9.63704,0.0035736
IET,0.152886,0.847114
DET,1.31291e-05,0.988914
FAR,-7.42559,1.31291e-05
FRR,-9.63631,0.00362342
IET,0.153593,0.846407
DET,1.34977e-05,0.988724
FAR,-7.43673,1.34977e-05
FRR,-9.63557,0.00367392
IET,0.154304,0.845696
DET,1.38766e-05,0.988528
FAR,-7.44771,1.38766e-05
FRR,-9.63482,0.00372514
IET,0.155018,0.844983
DET,1.42662e-05,0.988326
FAR,-7.4507,1.42662e-05
FRR,-9.63406,0.00377706
IET,0.155734,0.844266
DET,1.46667e-05,0.988119
FAR,-7.45378,1.46667e-05
FRR,-9.6333,0.00382971
IET,0.156455,0.843545
DET,1.50784e-05,0.987906
FAR,-7.45694,1.50784e-05
FRR,-9.63251,0.0038831
IET,0.157178,0.842822
DET,1.55017e-05,0.987688
FAR,-7.46019,1.55017e-05
FRR,-9.63172,0.00393723
IET,0.157905,0.842095
DET,1.59369e-05,0.987463
FAR,-7.46354,1.59369e-05
FRR,-9.63092,0.00399211
IET,0.158636,0.841364
DET,1.63843e-05,0.987231
FAR,-7.46697,1.63843e-05
FRR,-9.63011,0.00404776
IET,0.159369,0.840631
DET,1.68443e-05,0.987092
FAR,-7.46941,1.68443e-05
FRR,-9.62928,0.00410418
IET,0.160106,0.839894
DET,1.73172e-05,0.987061
FAR,-7.47065,1.73172e-05
FRR,-9.62845,0.00416139
IET,0.160847,0.839153
DET,1.78033e-05,0.98703
FAR,-7.47193,1.78033e-05
FRR,-9.6276,0.0042194
IET,0.161591,0.838409
DET,1.83031e-05,0.986998
FAR,-7.47325,1.83031e-05
FRR,-9.62674,0.00427821
IET,0.162338,0.837662
DET,1.88169e-05,0.986964
FAR,-7.4746,1.88169e-05
FRR,-9.62527,0.00433785
IET,0.163089,0.836911
DET,1.93452e-05,0.98693
FAR,-7.47599,1.93452e-05
FRR,-9.62347,0.00439832
IET,0.163843,0.836157
DET,1.98883e-05,0.986895
FAR,-7.47742,1.98883e-05
FRR,-9.62165,0.00445963
IET,0.164601,0.835399
DET,2.04466e-05,0.986859
FAR,-7.47889,2.04466e-05
FRR,-9.6198,0.00452179
IET,0.165362,0.834638
DET,2.10206e-05,0.986822
FAR,-7.4804,2.10206e-05
FRR,-9.61793,0.00458482
IET,0.166127,0.833873
DET,2.16107e-05,0.986784
FAR,-7.48195,2.16107e-05
FRR,-9.61602,0.00464873
IET,0.166896,0.833104
DET,2.22174e-05,0.986745
FAR,-7.48354,2.22174e-05
FRR,-9.6141,0.00471354
IET,0.167668,0.832332
DET,2.28411e-05,0.986704
FAR,-7.48519,2.28411e-05
FRR,-9.61215,0.00477924
IET,0.168443,0.831557
DET,2.34823e-05,0.986663
FAR,-7.48687,2.34823e-05
FRR,-9.61016,0.00484586
IET,0.169222,0.830778
DET,2.41416e-05,0.98662
FAR,-7.48861,2.41416e-05
FRR,-9.60816,0.00491341
IET,0.170005,0.829995
DET,2.48193e-05,0.986577
FAR,-7.49039,2.48193e-05
FRR,-9.60612,0.0049819
IET,0.170791,0.829209
DET,2.55161e-05,0.986532
FAR,-7.49222,2.55161e-05
FRR,-9.60406,0.00505134
IET,0.171581,0.828419
DET,2.62324e-05,0.986485
FAR,-7.49411,2.62324e-05
FRR,-9.60196,0.00512175
IET,0.172374,0.827626
DET,2.69688e-05,0.986438
FAR,-7.49604,2.69688e-05
FRR,-9.59984,0.00519315
IET,0.173172,0.826828
DET,2.77259e-05,0.986389
FAR,-7.49804,2.77259e-05
FRR,-9.59769,0.00526554
IET,0.173973,0.826027
DET,2.85043e-05,0.986338
FAR,-7.50008,2.85043e-05
FRR,-9.5955,0.00533894
IET,0.174777,0.825223
DET,2.93045e-05,0.986287
FAR,-7.50219,2.93045e-05
FRR,-9.59329,0.00541336
IET,0.175586,0.824414
DET,3.01272e-05,0.986234
FAR,-7.50435,3.01272e-05
FRR,-9.59105,0.00548882
IET,0.176398,0.823602
DET,3.09729e-05,0.986179
FAR,-7.50658,3.09729e-05
FRR,-9.58877,0.00556533
IET,0.177214,0.822786
DET,3.18424e-05,0.986123
FAR,-7.50887,3.18424e-05
FRR,-9.58647,0.00564291
IET,0.178033,0.821967
DET,3.27363e-05,0.986065
FAR,-7.51122,3.27363e-05
FRR,-9.58413,0.00572157
IET,0.178857,0.821143
DET,3.36553e-05,0.986006
FAR,-7.51364,3.36553e-05
FRR,-9.58213,0.00580132
IET,0.179684,0.820316
DET,3.46002e-05,0.985945
FAR,-7.51612,3.46002e-05
FRR,-9.58015,0.00588219
IET,0.180515,0.819485
DET,3.55715e-05,0.985882
FAR,-7.51868,3.55715e-05
FRR,-9.57815,0.00596418
IET,0.18135,0.81865
DET,3.65701e-05,0.985817
FAR,-7.5213,3.65701e-05
FRR,-9.57612,0.00604732
IET,0.182189,0.817811
DET,3.75968e-05,0.985751
FAR,-7.524,3.75968e-05
FRR,-9.57406,0.00613162
IET,0.183031,0.816969
DET,3.86522e-05,0.985683
FAR,-7.52678,3.86522e-05
FRR,-9.57198,0.00621709
IET,0.183878,0.816122
DET,3.97373e-05,0.98543
FAR,-7.52861,3.97373e-05
FRR,-9.56986,0.00630375
IET,0.184728,0.815272
DET,4.08528e-05,0.985142
FAR,-7.53033,4.08528e-05
FRR,-9.56771,0.00639162
IET,0.185583,0.814417
DET,4.19997e-05,0.984845
FAR,-7.53209,4.19997e-05
FRR,-9.56554,0.00648072
IET,0.186441,0.813559
DET,4.31788e-05,0.98454
FAR,-7.53391,4.31788e-05
FRR,-9.56333,0.00657106
IET,0.187303,0.812697
DET,4.4391e-05,0.984238
FAR,-7.53573,4.4391e-05
FRR,-9.5611,0.00666265
IET,0.188169,0.811831
DET,4.56371e-05,0.98418
FAR,-7.53657,4.56371e-05
FRR,-9.55883,0.00675553
IET,0.18904,0.81096
DET,4.69184e-05,0.984119
FAR,-7.53742,4.69184e-05
FRR,-9.55653,0.0068497
IET,0.189914,0.810086
DET,4.82355e-05,0.984057
FAR,-7.5383,4.82355e-05
FRR,-9.5542,0.00694518
IET,0.190792,0.809208
DET,4.95896e-05,0.983994
FAR,-7.53921,4.95896e-05
FRR,-9.55183,0.00704199
IET,0.191675,0.808325
DET,5.09817e-05,0.983928
FAR,-7.54014,5.09817e-05
FRR,-9.54943,0.00714015
IET,0.192561,0.807439
DET,5.24129e-05,0.983861
FAR,-7.5411,5.24129e-05
FRR,-9.54772,0.00723968
IET,0.193452,0.806548
DET,5.38844e-05,0.983792
FAR,-7.54208,5.38844e-05
FRR,-9.54619,0.0073406
IET,0.194347,0.805653
DET,5.53971e-05,0.983721
FAR,-7.54309,5.53971e-05
FRR,-9.54465,0.00744292
IET,0.195246,0.804754
DET,5.69522e-05,0.983648
FAR,-7.54413,5.69522e-05
FRR,-9.54309,0.00754667
IET,0.196149,0.803851
DET,5.85511e-05,0.983573
FAR,-7.5452,5.85511e-05
FRR,-9.5415,0.00765187
IET,0.197056,0.802944
DET,6.01948e-05,0.983495
FAR,-7.5463,6.01948e-05
FRR,-9.53989,0.00775853
IET,0.197967,0.802033
DET,6.18847e-05,0.983416
FAR,-7.54743,6.18847e-05
FRR,-9.53826,0.00786668
IET,0.198883,0.801117
DET,6.36219e-05,0.983334
FAR,-7.54859,6.36219e-05
FRR,-9.53661,0.00797634
IET,0.199803,0.800197
DET,6.54081e-05,0.98325
FAR,-7.54978,6.54081e-05
FRR,-9.53493,0.00808753
IET,0.200727,0.799273
DET,6.72443e-05,0.983164
FAR,-7.55101,6.72443e-05
FRR,-9.53323,0.00820026
IET,0.201655,0.798345
DET,6.9132e-05,0.983075
FAR,-7.55227,6.9132e-05
FRR,-9.53151,0.00831457
IET,0.202588,0.797412
DET,7.10728e-05,0.982984
FAR,-7.55357,7.10728e-05
FRR,-9.52976,0.00843047
IET,0.203525,0.796475
DET,7.30681e-05,0.98289
FAR,-7.5549,7.30681e-05
FRR,-9.52799,0.00854799
IET,0.204466,0.795534
DET,7.51193e-05,0.982653
FAR,-7.55642,7.51193e-05
FRR,-9.52605,0.00866714
IET,0.205412,0.794588
DET,7.72281e-05,0.981563
FAR,-7.55883,7.72281e-05
FRR,-9.52399,0.00878795
IET,0.206362,0.793638
DET,7.93961e-05,0.980442
FAR,-7.56198,7.93961e-05
FRR,-9.5219,0.00891045
IET,0.207316,0.792684
DET,8.16251e-05,0.979812
FAR,-7.56587,8.16251e-05
FRR,-9.51979,0.00903466
IET,0.208275,0.791725
DET,8.39166e-05,0.979575
FAR,-7.57027,8.39166e-05
FRR,-9.51764,0.0091606
IET,0.209238,0.790762
DET,8.62723e-05,0.979332
FAR,-7.57479,8.62723e-05
FRR,-9.51547,0.00928829
IET,0.210206,0.789794
DET,8.86944e-05,0.979081
FAR,-7.57944,8.86944e-05
FRR,-9.51326,0.00941777
IET,0.211178,0.788822
DET,9.11843e-05,0.978824
FAR,-7.58423,9.11843e-05
FRR,-9.51102,0.00954905
IET,0.212155,0.787845
DET,9.37441e-05,0.978559
FAR,-7.58914,9.37441e-05
FRR,-9.50875,0.00968215
IET,0.213136,0.786864
DET,9.63758e-05,0.978371
FAR,-7.59158,9.63758e-05
FRR,-9.50645,0.00981712
IET,0.214122,0.785878
DET,9.90813e-05,0.978196
FAR,-7.5935,9.90813e-05
FRR,-9.50412,0.00995396
IET,0.215112,0.784888
DET,0.000101863,0.978016
FAR,-7.59548,0.000101863
FRR,-9.5027,0.0100927
IET,0.216107,0.783893
DET,0.000104723,0.977831
FAR,-7.59751,0.000104723
FRR,-9.50238,0.0102334
IET,0.217107,0.782893
DET,0.000107662,0.977641
FAR,-7.59959,0.000107662
FRR,-9.50205,0.010376
IET,0.218111,0.781889
DET,0.000110685,0.977446
FAR,-7.60174,0.000110685
FRR,-9.50172,0.0105207
IET,0.21912,0.78088
DET,0.000113792,0.977245
FAR,-7.60395,0.000113792
FRR,-9.50138,0.0106673
IET,0.220133,0.779867
DET,0.000116987,0.976767
FAR,-7.60634,0.000116987
FRR,-9.50104,0.010816
IET,0.221151,0.778849
DET,0.000120271,0.975453
FAR,-7.6092,0.000120271
FRR,-9.50069,0.0109668
IET,0.222174,0.777826
DET,0.000123647,0.974871
FAR,-7.61177,0.000123647
FRR,-9.50034,0.0111197
IET,0.223202,0.776798
DET,0.000127118,0.974273
FAR,-7.6144,0.000127118
FRR,-9.49998,0.0112747
IET,0.224234,0.775766
DET,0.000130687,0.974046
FAR,-7.61798,0.000130687
FRR,-9.49962,0.0114318
IET,0.225271,0.774729
DET,0.000134356,0.973856
FAR,-7.62175,0.000134356
FRR,-9.49632,0.0115912
IET,0.226313,0.773687
DET,0.000138128,0.973661
FAR,-7.62563,0.000138128
FRR,-9.4923,0.0117528
IET,0.22736,0.77264
DET,0.000142005,0.973461
FAR,-7.62961,0.000142005
FRR,-9.48823,0.0119166
IET,0.228411,0.771589
DET,0.000145992,0.973255
FAR,-7.63371,0.000145992
FRR,-9.4841,0.0120827
IET,0.229468,0.770532
DET,0.00015009,0.973043
FAR,-7.63793,0.00015009
FRR,-9.47991,0.0122511
IET,0.230529,0.769471
DET,0.000154304,0.972825
FAR,-7.64226,0.000154304
FRR,-9.47566,0.0124219
IET,0.231595,0.768405
DET,0.000158636,0.972716
FAR,-7.64541,0.000158636
FRR,-9.47135,0.0125951
IET,0.232666,0.767334
DET,0.000163089,0.972633
FAR,-7.64831,0.000163089
FRR,-9.46698,0.0127706
IET,0.233742,0.766258
DET,0.000167668,0.972549
FAR,-7.6513,0.000167668
FRR,-9.46364,0.0129486
IET,0.234823,0.765177
DET,0.000172374,0.972462
FAR,-7.65436,0.000172374
FRR,-9.46274,0.0131291
IET,0.23591,0.76409
DET,0.000177214,0.972373
FAR,-7.65751,0.000177214
FRR,-9.46183,0.0133122
IET,0.237001,0.762999
DET,0.000182188,0.972281
FAR,-7.66075,0.000182188
FRR,-9.4609,0.0134977
IET,0.238097,0.761903
DET,0.000187303,0.972186
FAR,-7.66408,0.000187303
FRR,-9.45997,0.0136859
IET,0.239198,0.760802
DET,0.000192561,0.972089
FAR,-7.66751,0.000192561
FRR,-9.45901,0.0138766
IET,0.240304,0.759696
DET,0.000197967,0.971989
FAR,-7.67103,0.000197967
FRR,-9.45805,0.0140701
IET,0.241416,0.758584
DET,0.000203525,0.971887
FAR,-7.67465,0.000203525
FRR,-9.45707,0.0142662
IET,0.242532,0.757468
DET,0.000209238,0.971781
FAR,-7.67837,0.000209238
FRR,-9.44949,0.0144651
IET,0.243654,0.756346
DET,0.000215112,0.971673
FAR,-7.6822,0.000215112
FRR,-9.43889,0.0146667
IET,0.244781,0.755219
DET,0.000221151,0.971561
FAR,-7.68613,0.000221151
FRR,-9.42813,0.0148712
IET,0.245913,0.754087
DET,0.00022736,0.971447
FAR,-7.69017,0.00022736
FRR,-9.41724,0.0150784
IET,0.24705,0.75295
DET,0.000233742,0.970846
FAR,-7.69425,0.000233742
FRR,-9.40618,0.0152886
IET,0.248193,0.751807
DET,0.000240304,0.96831
FAR,-7.6987,0.000240304
FRR,-9.39498,0.0155017
IET,0.249341,0.750659
DET,0.00024705,0.967729
FAR,-7.70209,0.00024705
FRR,-9.38361,0.0157178
IET,0.250494,0.749506
DET,0.000253986,0.967131
FAR,-7.70558,0.000253986
FRR,-9.38136,0.0159369
IET,0.251653,0.748347
DET,0.000261116,0.966897
FAR,-7.70835,0.000261116
FRR,-9.38128,0.0161591
IET,0.252817,0.747183
DET,0.000268446,0.966716
FAR,-7.71107,0.000268446
FRR,-9.38119,0.0163843
IET,0.253986,0.746014
DET,0.000275983,0.966531
FAR,-7.71387,0.000275983
FRR,-9.3811,0.0166127
IET,0.255161,0.744839
DET,0.00028373,0.96634
FAR,-7.71674,0.00028373
FRR,-9.38101,0.0168443
IET,0.256341,0.743659
DET,0.000291696,0.966144
FAR,-7.7197,0.000291696
FRR,-9.38092,0.0170791
IET,0.257526,0.742474
DET,0.000299884,0.965942
FAR,-7.72274,0.000299884
FRR,-9.38063,0.0173172
IET,0.258717,0.741283
DET,0.000308303,0.965735
FAR,-7.72587,0.000308303
FRR,-9.38015,0.0175586
IET,0.259914,0.740086
DET,0.000316958,0.965436
FAR,-7.7287,0.000316958
FRR,-9.37967,0.0178033
IET,0.261116,0.738884
DET,0.000325856,0.965018
FAR,-7.73112,0.000325856
FRR,-9.37918,0.0180515
IET,0.262324,0.737676
DET,0.000335004,0.964588
FAR,-7.73361,0.000335004
FRR,-9.37868,0.0183031
IET,0.263537,0.736463
DET,0.000344409,0.964115
FAR,-7.73622,0.000344409
FRR,-9.37818,0.0185583
IET,0.264756,0.735244
DET,0.000354077,0.963282
FAR,-7.73936,0.000354077
FRR,-9.37804,0.0188169
IET,0.26598,0.73402
DET,0.000364017,0.961214
FAR,-7.74516,0.000364017
FRR,-9.37802,0.0190792
IET,0.267211,0.732789
DET,0.000374237,0.960158
FAR,-7.75058,0.000374237
FRR,-9.378,0.0193452
IET,0.268446,0.731554
DET,0.000384743,0.959377
FAR,-7.75452,0.000384743
FRR,-9.37798,0.0196149
IET,0.269688,0.730312
DET,0.000395544,0.958679
FAR,-7.758,0.000395544
FRR,-9.37796,0.0198883
IET,0.270935,0.729065
DET,0.000406648,0.956664
FAR,-7.76284,0.000406648
FRR,-9.37762,0.0201655
IET,0.272188,0.727812
DET,0.000418064,0.954251
FAR,-7.76767,0.000418064
FRR,-9.37674,0.0204466
IET,0.273447,0.726553
DET,0.0004298,0.953176
FAR,-7.77268,0.0004298
FRR,-9.37586,0.0207316
IET,0.274712,0.725288
DET,0.000441866,0.949206
FAR,-7.77776,0.000441866
FRR,-9.37496,0.0210206
IET,0.275983,0.724017
DET,0.000454271,0.948276
FAR,-7.78107,0.000454271
FRR,-9.37406,0.0213136
IET,0.277259,0.722741
DET,0.000467023,0.948102
FAR,-7.78382,0.000467023
FRR,-9.37317,0.0216107
IET,0.278541,0.721459
DET,0.000480134,0.947924
FAR,-7.78666,0.000480134
FRR,-9.37234,0.021912
