Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
FAR,2.00136,1.14318e-05
FRR,-0.513108,0.000507471
IET,0.0033811,0.861895
DET,1.17528e-05,0.903821
FAR,1.995,1.17528e-05
FRR,-0.513108,0.000516924
IET,0.00342823,0.85997
DET,1.20827e-05,0.902968
FAR,1.98846,1.20827e-05
FRR,-0.513108,0.000526554
IET,0.00347602,0.858018
DET,1.24219e-05,0.902091
FAR,1.98174,1.24219e-05
FRR,-0.513108,0.000536363
IET,0.00352447,0.856039
DET,1.27706e-05,0.90119
FAR,1.97483,1.27706e-05
FRR,-0.513108,0.000546355
IET,0.0035736,0.854032
DET,1.31291e-05,0.900263
FAR,1.96772,1.31291e-05
FRR,-0.513108,0.000556533
IET,0.00362342,0.851997
DET,1.34977e-05,0.899311
FAR,1.96042,1.34977e-05
FRR,-0.513108,0.000566901
IET,0.00367392,0.849934
DET,1.38766e-05,0.898331
FAR,1.95291,1.38766e-05
FRR,-0.513108,0.000577461
IET,0.00372514,0.847843
DET,1.42662e-05,0.898061
FAR,1.94988,1.42662e-05
FRR,-0.513108,0.000588219
IET,0.00377706,0.845722
DET,1.46667e-05,0.897923
FAR,1.94766,1.46667e-05
FRR,-0.513108,0.000599177
IET,0.00382971,0.843571
DET,1.50784e-05,0.897782
FAR,1.94537,1.50784e-05
FRR,-0.513108,0.000610339
IET,0.0038831,0.84139
DET,1.55017e-05,0.897636
FAR,1.94302,1.55017e-05
FRR,-0.513108,0.000621709
IET,0.00393723,0.83918
DET,1.59369e-05,0.897486
FAR,1.9406,1.59369e-05
FRR,-0.513108,0.000633291
IET,0.00399211,0.836938
DET,1.63843e-05,0.897331
FAR,1.93812,1.63843e-05
FRR,-0.513108,0.000645088
IET,0.00404776,0.834665
DET,1.68443e-05,0.897194
FAR,1.93617,1.68443e-05
FRR,-0.513108,0.000657106
IET,0.00410418,0.83236
DET,1.73172e-05,0.897112
FAR,1.93593,1.73172e-05
FRR,-0.513108,0.000669347
IET,0.00416139,0.830023
DET,1.78033e-05,0.897028
FAR,1.93568,1.78033e-05
FRR,-0.513108,0.000681816
IET,0.0042194,0.827654
DET,1.83031e-05,0.896942
FAR,1.93543,1.83031e-05
FRR,-0.513108,0.000694518
IET,0.00427821,0.826916
DET,1.88169e-05,0.896854
FAR,1.93517,1.88169e-05
FRR,-0.513108,0.000707456
IET,0.00433785,0.826907
DET,1.93452e-05,0.896763
FAR,1.9349,1.93452e-05
FRR,-0.513108,0.000720635
IET,0.00439832,0.826897
DET,1.98883e-05,0.896669
FAR,1.93463,1.98883e-05
FRR,-0.513108,0.00073406
IET,0.00445963,0.826887
DET,2.04466e-05,0.896573
FAR,1.93434,2.04466e-05
FRR,-0.513108,0.000747735
IET,0.00452179,0.826877
DET,2.10206e-05,0.896474
FAR,1.93405,2.10206e-05
FRR,-0.513108,0.000761664
IET,0.00458482,0.826867
DET,2.16107e-05,0.896372
FAR,1.93375,2.16107e-05
