Plot,4SF LFW,4SF MEDS,Eigenfaces LFW,Eigenfaces MEDS,x
CMC,0.879121,0.965616,0.722527,0.746418,151.0
CMC,0.879121,0.965616,0.722527,0.750716,152.0
CMC,0.879121,0.965616,0.722527,0.752149,153.0
CMC,0.879121,0.965616,0.722527,0.75788,154.0
CMC,0.879121,0.965616,0.722527,0.759312,155.0
CMC,0.881868,0.965616,0.722527,0.760745,156.0
CMC,0.881868,0.965616,0.722527,0.762178,157.0
CMC,0.881868,0.967049,0.722527,0.76361,158.0
CMC,0.881868,0.967049,0.722527,0.76361,159.0
CMC,0.881868,0.967049,0.722527,0.765043,160.0
CMC,0.881868,0.967049,0.722527,0.767908,161.0
CMC,0.881868,0.967049,0.722527,0.767908,162.0
CMC,0.881868,0.967049,0.722527,0.772206,163.0
CMC,0.881868,0.967049,0.722527,0.772206,164.0
CMC,0.881868,0.968481,0.722527,0.772206,165.0
CMC,0.881868,0.968481,0.722527,0.773639,166.0
CMC,0.881868,0.968481,0.722527,0.775072,167.0
CMC,0.881868,0.968481,0.722527,0.777937,168.0
CMC,0.881868,0.968481,0.728022,0.780802,169.0
CMC,0.892857,0.968481,0.728022,0.780802,170.0
CMC,0.892857,0.968481,0.728022,0.783668,171.0
CMC,0.892857,0.968481,0.728022,0.787966,172.0
CMC,0.892857,0.968481,0.730769,0.787966,173.0
CMC,0.892857,0.968481,0.730769,0.787966,174.0
CMC,0.892857,0.968481,0.730769,0.787966,175.0
CMC,0.892857,0.969914,0.733516,0.787966,176.0
CMC,0.892857,0.969914,0.736264,0.789398,177.0
CMC,0.892857,0.969914,0.739011,0.790831,178.0
CMC,0.892857,0.969914,0.739011,0.790831,179.0
CMC,0.892857,0.969914,0.741758,0.792264,180.0
CMC,0.895604,0.969914,0.741758,0.792264,181.0
CMC,0.895604,0.969914,0.741758,0.793696,182.0
CMC,0.895604,0.969914,0.741758,0.795129,183.0
CMC,0.895604,0.969914,0.744505,0.797994,184.0
CMC,0.895604,0.969914,0.744505,0.797994,185.0
CMC,0.895604,0.969914,0.744505,0.799427,186.0
CMC,0.895604,0.969914,0.744505,0.80086,187.0
CMC,0.895604,0.969914,0.747253,0.803725,188.0
CMC,0.895604,0.969914,0.75,0.803725,189.0
CMC,0.895604,0.969914,0.752747,0.805158,190.0
CMC,0.895604,0.969914,0.752747,0.80659,191.0
CMC,0.895604,0.969914,0.752747,0.808023,192.0
CMC,0.895604,0.969914,0.758242,0.808023,193.0
CMC,0.895604,0.969914,0.758242,0.808023,194.0
CMC,0.895604,0.969914,0.766484,0.808023,195.0
CMC,0.895604,0.969914,0.769231,0.808023,196.0
CMC,0.895604,0.969914,0.769231,0.812321,197.0
CMC,0.895604,0.969914,0.769231,0.813754,198.0
CMC,0.895604,0.969914,0.769231,0.816619,199.0
CMC,0.895604,0.969914,0.769231,0.816619,200.0
